Key,Dialogue,Context
[BARK]Gassed_0,（咳）,
[BARK]Gassed_1,（咳）,
[BARK]HeardSWAT_0,ここだ！,
[BARK]HeardSWAT_1,助けてくれ！,
[BARK]HeardSWAT_2,助けてくれ！,
[BARK]HeardSWAT_3,誰だ？,
[BARK]HeardSWAT_4,助けてくれ！,
[BARK]Hesitating_0,え…えっと…,
[BARK]Hesitating_1,ああ…ああ！,
[BARK]Hesitating_2,うーん…えー…,
[BARK]IdleAlly_0,気をつけて。,
[BARK]IdleAlly_1,救命第一だ。,
[BARK]IdleAlly_2,奴らが来たら逃げろ！,
[BARK]IdleAlly_3,落ち着くんだ。,
[BARK]IdleAlly_4,できる限りのことをしろ。,
[BARK]IdleAlly_5,警備員を呼ぶんだ！,
[BARK]IdleAlly_6,警察はどこだ？,
[BARK]IdleAlly_7,伏せていろ。動くな。,
[BARK]IdleAlly_8,ここにいるんだ！助けは来る！,
[BARK]IdleEnemy_0,やめてくれ！,
[BARK]IdleEnemy_1,何が望みだ？,
[BARK]IdleEnemy_2,もう誰も傷つけないと約束してくれ。,
[BARK]IdleEnemy_3,彼らは何も悪いことをしていない！,
[BARK]IdleSelf_0,クソ。,
[BARK]IdleSelf_1,,
[BARK]IdleSelf_2,私が助けてやらないと。,
[BARK]IdleSelf_3,やるしかない。,
[BARK]Immune_0,（うめき声）,
[BARK]Immune_1,何をしてる？,
[BARK]Immune_2,クソ！,
[BARK]IncapIdle_0,（悲鳴）,
[BARK]IncapIdle_1,（悲鳴）,
[BARK]IncapIdle_2,（悲鳴）,
[BARK]NonCompliant_0,行くものか。,
[BARK]NonCompliant_1,私はここにいる！,
[BARK]NonCompliant_2,頼む、話を聞いてくれ！,
[BARK]NonCompliant_3,私はどこへも行かない。,
[BARK]NonCompliant_4,私を止めたいか？なら撃て。それでも私は動かない。,
[BARK]NonCompliant_5,全員が逃げるまでどこへも行かない。,
[BARK]NonCompliant_6,おい！,
[BARK]Pain_0,ああ！ああ！クソ！,
[BARK]Pain_1,ああ！ああ！,
[BARK]Pain_2,（苦痛に満ちた叫び声）,
[BARK]Pain_3,ああ！うう！クソ！,
[BARK]Pain_4,（苦痛に満ちた叫び声）,
[BARK]PickedUp_0,どこへ連れて行く気だ？,
[BARK]PickedUp_1,ここにいさせてくれ！,
[BARK]PickedUp_2,やめろ！放せ！皆を救うんだ！,
[BARK]PickedUp_3,ああ！患者を運べ！,
[BARK]PlayerSeen_0,私は医者だ。撃つな。,
[BARK]PlayerSeen_1,手を貸してくれ！,
[BARK]PlayerSeen_2,君！こっちだ！,
[BARK]PlayerSeen_3,急げ！,
[BARK]PlayerSeen_4,手を貸してくれ！,
[BARK]PlayerSeen_5,ここだ！,
[BARK]PlayerSeen_6,おい！こっちだ！,
[BARK]Stunned_0,イーーー,
[BARK]Stunned_1,ああ！ああ！,
[BARK]Tased_0,（苦痛に満ちた叫び声）,
[BARK]Tased_1,（苦痛に満ちた叫び声）,
[BARK]Tased_2,（苦痛に満ちた叫び声）,
[REPLY]Shooting_0,伏せろ！,
[REPLY]Shooting_1,やめろ！,
[REPLY]Shooting_2,撃つな！,
[REPLY]Shooting_3,ああ、クソ！,
[TELL]Fleeing_0,助けを呼ぶ！,
[TELL]Fleeing_1,クソ,
[TELL]Fleeing_2,すぐ戻る！,
[TELL]Fleeing_3,出て行け！,
[TELL]Fleeing_4,逃げろ！,
